Classifier: MLPClassifier
------------------------------------------
Accuracy:  0.638
Precision:  0.638
Recall:  0.638
F1 Score:  0.638
Jaccard Score:  0.468
Hamming Loss:  0.362
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
           Celtis tenuifolia       0.40      0.46      0.43        39
    Cercidiphyllum japonicum       0.42      0.44      0.43        39
           Cercis canadensis       0.57      0.67      0.61        57
      Chamaecyparis pisifera       0.82      0.90      0.86        40
      Chamaecyparis thyoides       0.85      0.85      0.85        40
         Chionanthus retusus       0.53      0.65      0.58        40
      Chionanthus virginicus       0.48      0.40      0.44        57
            Cladrastis lutea       0.71      0.69      0.70        39
              Cornus florida       0.48      0.54      0.51        41
                Cornus kousa       0.46      0.40      0.43        40
                  Cornus mas       0.56      0.68      0.61        40
             Corylus colurna       0.33      0.44      0.38        16
        Crataegus crus-galli       0.60      0.53      0.56        34
         Crataegus laevigata       0.88      0.88      0.88        40
       Crataegus phaenopyrum       0.75      0.82      0.79        40
          Crataegus pruinosa       0.64      0.70      0.67        40
           Crataegus viridis       0.56      0.45      0.50        40
        Cryptomeria japonica       0.84      0.81      0.82        26
        Diospyros virginiana       0.53      0.65      0.59        66
           Eucommia ulmoides       0.72      0.70      0.71        40
            Evodia daniellii       0.65      0.65      0.65        26
           Fagus grandifolia       0.67      0.68      0.68        38
                Ficus carica       0.74      0.82      0.78        39
          Fraxinus americana       0.89      0.86      0.88        29
              Fraxinus nigra       0.70      1.00      0.82        40
      Fraxinus pennsylvanica       0.88      0.77      0.82        39
               Ginkgo biloba       0.70      0.75      0.72        40
       Gleditsia triacanthos       0.77      0.74      0.76        50
         Gymnocladus dioicus       0.71      0.74      0.72        39
          Halesia tetraptera       0.73      0.68      0.70        40
                  Ilex opaca       0.56      0.56      0.56        71
             Juglans cinerea       0.92      0.82      0.87        40
               Juglans nigra       0.77      0.82      0.79        49
        Juniperus virginiana       0.87      0.81      0.84        16
     Koelreuteria paniculata       0.86      0.62      0.72        40
               Larix decidua       0.70      0.75      0.72        40
     Liquidambar styraciflua       0.58      0.64      0.61        39
     Liriodendron tulipifera       0.63      0.77      0.69        61
            Maclura pomifera       0.91      0.99      0.95       140
          Magnolia acuminata       0.42      0.62      0.51        40
           Magnolia denudata       0.54      0.64      0.59        39
        Magnolia grandiflora       0.63      0.65      0.64        40
        Magnolia macrophylla       0.81      0.77      0.79        39
        Magnolia soulangiana       0.43      0.46      0.44        13
           Magnolia stellata       0.53      0.54      0.53        39
          Magnolia tripetala       0.68      0.59      0.63        39
         Magnolia virginiana       0.55      0.55      0.55        40
          Malus angustifolia       0.80      0.67      0.73        18
               Malus baccata       0.61      0.62      0.62        40
             Malus coronaria       0.65      0.50      0.56        40
            Malus floribunda       0.26      0.45      0.33        40
            Malus hupehensis       0.29      0.40      0.34        40
                Malus pumila       0.44      0.68      0.53        40
Metasequoia glyptostroboides       1.00      1.00      1.00        40
                  Morus alba       0.60      0.64      0.62        42
                 Morus rubra       0.87      0.66      0.75        41
             Nyssa sylvatica       0.37      0.41      0.39        39
           Ostrya virginiana       0.65      0.69      0.67        61
         Oxydendrum arboreum       0.67      0.36      0.47        39
         Paulownia tomentosa       0.64      0.46      0.54        39
      Phellodendron amurense       0.66      0.57      0.61        40
                 Picea abies       0.87      0.85      0.86        39
            Picea orientalis       0.97      0.82      0.89        39
               Picea pungens       0.84      0.93      0.88        40
              Pinus bungeana       0.79      0.75      0.77        40
                Pinus cembra       0.38      0.33      0.36        39
            Pinus densiflora       0.75      0.53      0.62        40
              Pinus echinata       0.61      0.68      0.64        40
              Pinus flexilis       0.67      0.63      0.65        41
            Pinus koraiensis       0.64      0.76      0.70        38
                 Pinus nigra       0.59      0.69      0.64        39
            Pinus parviflora       0.60      0.45      0.51        40
                Pinus peucea       0.48      0.51      0.49        41
               Pinus pungens       0.67      0.79      0.73        39
              Pinus resinosa       0.66      0.53      0.58        40
                Pinus rigida       0.58      0.70      0.64        40
               Pinus strobus       0.78      0.45      0.57        40
            Pinus sylvestris       0.82      0.70      0.76        40
                 Pinus taeda       0.79      0.78      0.78        40
            Pinus thunbergii       0.45      0.64      0.53        39
            Pinus virginiana       0.71      0.95      0.81        39
           Pinus wallichiana       0.75      0.82      0.79        40
         Platanus acerifolia       0.57      0.62      0.59        39
       Platanus occidentalis       0.71      0.45      0.56        55
           Populus deltoides       0.74      0.80      0.77        40
       Populus grandidentata       0.62      0.70      0.66        40
         Populus tremuloides       0.50      0.38      0.43        40
         Prunus pensylvanica       0.72      0.78      0.75        40
            Prunus sargentii       0.51      0.60      0.55        40
             Prunus serotina       0.59      0.48      0.53        42
            Prunus serrulata       0.53      0.41      0.46        39
          Prunus subhirtella       0.39      0.53      0.45        40
           Prunus virginiana       0.42      0.35      0.38        40
            Prunus yedoensis       0.48      0.51      0.49        39
        Pseudolarix amabilis       0.67      0.92      0.78        38
           Ptelea trifoliata       0.66      0.58      0.61        73
            Pyrus calleryana       0.60      0.62      0.61        40
          Quercus acutissima       0.73      0.60      0.66        40
                Quercus alba       0.51      0.49      0.50        53
             Quercus bicolor       0.36      0.34      0.35        41
              Quercus cerris       0.63      0.68      0.65        40
            Quercus coccinea       0.68      0.75      0.71        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.56      0.26      0.36        38
          Quercus macrocarpa       0.95      0.90      0.92        40
         Quercus marilandica       0.62      0.53      0.57        40
           Quercus michauxii       0.68      0.69      0.68        39
             Quercus montana       0.67      0.61      0.64        62
       Quercus muehlenbergii       0.52      0.69      0.59        39
               Quercus nigra       0.54      0.47      0.51        40
           Quercus palustris       0.61      0.70      0.65        40
             Quercus phellos       0.60      0.70      0.64        40
               Quercus robur       0.38      0.37      0.37        38
               Quercus rubra       0.45      0.38      0.42        13
           Quercus shumardii       0.61      0.70      0.65        40
            Quercus stellata       0.68      0.57      0.62        40
            Quercus velutina       0.86      0.82      0.84        39
          Quercus virginiana       0.82      0.80      0.81        40
       Robinia pseudo-acacia       0.74      0.71      0.72        41
            Salix babylonica       0.71      0.68      0.69        40
           Salix caroliniana       0.56      0.67      0.61        42
             Salix matsudana       0.76      0.84      0.80        38
                 Salix nigra       0.83      0.85      0.84        40
           Sassafras albidum       0.37      0.30      0.33        37
          Staphylea trifolia       0.70      0.64      0.67        55
    Stewartia pseudocamellia       0.38      0.23      0.29        39
             Styrax japonica       0.54      0.47      0.51        40
              Styrax obassia       0.25      0.15      0.19        13
          Syringa reticulata       0.83      0.95      0.88        20
          Taxodium distichum       0.96      0.63      0.76        38
             Tilia americana       0.55      0.55      0.55        47
               Tilia cordata       0.74      0.80      0.77        40
              Tilia europaea       0.63      0.69      0.66        39
             Tilia tomentosa       0.39      0.45      0.42        40
              Toona sinensis       0.90      0.69      0.78        13
            Tsuga canadensis       0.90      0.65      0.75        40
             Ulmus americana       0.70      0.58      0.63        66
                Ulmus glabra       0.38      0.29      0.33        34
            Ulmus parvifolia       0.71      0.72      0.72        40
               Ulmus procera       0.37      0.25      0.30        40
                Ulmus pumila       0.44      0.41      0.43        39
                 Ulmus rubra       0.49      0.58      0.53        88
             Zelkova serrata       0.52      0.56      0.54        39
                    accuracy                           0.64      7639
                   macro avg       0.64      0.63      0.63      7639
                weighted avg       0.64      0.64      0.63      7639
===============================================================================
Classifier: LogisticRegression
------------------------------------------
Accuracy:  0.327
Precision:  0.327
Recall:  0.327
F1 Score:  0.327
Jaccard Score:  0.196
Hamming Loss:  0.673
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.53      0.71      0.61        66
          Abies nordmanniana       0.39      0.37      0.38        41
              Acer campestre       0.20      0.31      0.24        36
                Acer ginnala       0.33      0.62      0.43        40
                Acer griseum       0.56      0.19      0.29        26
                Acer negundo       0.46      0.63      0.53        65
               Acer palmatum       0.58      0.72      0.64        40
          Acer pensylvanicum       0.42      0.46      0.44        39
            Acer platanoides       0.16      0.10      0.12        40
         Acer pseudoplatanus       0.00      0.00      0.00        39
                 Acer rubrum       0.29      0.55      0.38        83
            Acer saccharinum       0.06      0.02      0.03        49
              Acer saccharum       0.28      0.13      0.18        52
              Aesculus flava       0.59      0.76      0.67        38
             Aesculus glabra       0.50      0.49      0.49        39
      Aesculus hippocastamon       0.48      0.28      0.35        39
               Aesculus pavi       0.25      0.12      0.16        41
         Ailanthus altissima       0.34      0.44      0.38        34
         Albizia julibrissin       0.53      0.63      0.58        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.28      0.47      0.35        40
          Amelanchier laevis       0.47      0.57      0.52        40
             Asimina triloba       0.24      0.42      0.31        66
       Betula alleghaniensis       0.21      0.33      0.26        40
          Betula jacqemontii       0.17      0.28      0.21        40
                Betula lenta       0.24      0.31      0.27        39
                Betula nigra       0.08      0.05      0.06        39
          Betula populifolia       0.36      0.10      0.16        40
    Broussonettia papyrifera       0.15      0.25      0.19        79
            Carpinus betulus       0.16      0.23      0.19        40
        Carpinus caroliniana       0.28      0.27      0.27        49
           Carya cordiformis       0.50      0.45      0.47        49
                Carya glabra       0.33      0.09      0.14        33
                 Carya ovata       0.40      0.47      0.44        40
             Carya tomentosa       0.33      0.18      0.23        39
            Castanea dentata       0.20      0.28      0.24        39
        Catalpa bignonioides       0.58      0.75      0.66        57
            Catalpa speciosa       0.67      0.51      0.58        39
            Cedrus atlantica       0.23      0.12      0.15        26
              Cedrus deodara       0.29      0.27      0.28        26
               Cedrus libani       0.40      0.78      0.53        40
         Celtis occidentalis       0.09      0.05      0.07        37
           Celtis tenuifolia       0.21      0.26      0.23        39
    Cercidiphyllum japonicum       0.06      0.03      0.04        39
           Cercis canadensis       0.21      0.16      0.18        57
      Chamaecyparis pisifera       0.71      0.68      0.69        40
      Chamaecyparis thyoides       0.82      0.68      0.74        40
         Chionanthus retusus       0.17      0.25      0.20        40
      Chionanthus virginicus       0.19      0.09      0.12        57
            Cladrastis lutea       0.43      0.62      0.51        39
              Cornus florida       0.20      0.22      0.21        41
                Cornus kousa       0.05      0.03      0.03        40
                  Cornus mas       0.15      0.25      0.19        40
             Corylus colurna       0.00      0.00      0.00        16
        Crataegus crus-galli       0.38      0.18      0.24        34
         Crataegus laevigata       0.47      0.85      0.61        40
       Crataegus phaenopyrum       0.19      0.28      0.22        40
          Crataegus pruinosa       0.13      0.15      0.14        40
           Crataegus viridis       0.23      0.40      0.29        40
        Cryptomeria japonica       0.48      0.46      0.47        26
        Diospyros virginiana       0.33      0.45      0.38        66
           Eucommia ulmoides       0.36      0.33      0.34        40
            Evodia daniellii       0.45      0.19      0.27        26
           Fagus grandifolia       0.13      0.11      0.12        38
                Ficus carica       0.44      0.41      0.43        39
          Fraxinus americana       0.73      0.76      0.75        29
              Fraxinus nigra       0.55      0.82      0.66        40
      Fraxinus pennsylvanica       0.50      0.38      0.43        39
               Ginkgo biloba       0.25      0.47      0.32        40
       Gleditsia triacanthos       0.36      0.28      0.31        50
         Gymnocladus dioicus       0.30      0.21      0.24        39
          Halesia tetraptera       0.39      0.33      0.36        40
                  Ilex opaca       0.09      0.10      0.09        71
             Juglans cinerea       0.64      0.57      0.61        40
               Juglans nigra       0.36      0.51      0.42        49
        Juniperus virginiana       0.29      0.12      0.17        16
     Koelreuteria paniculata       0.60      0.62      0.61        40
               Larix decidua       0.45      0.38      0.41        40
     Liquidambar styraciflua       0.39      0.41      0.40        39
     Liriodendron tulipifera       0.24      0.31      0.27        61
            Maclura pomifera       0.28      0.69      0.39       140
          Magnolia acuminata       0.45      0.50      0.48        40
           Magnolia denudata       0.18      0.44      0.25        39
        Magnolia grandiflora       0.28      0.17      0.22        40
        Magnolia macrophylla       0.42      0.44      0.43        39
        Magnolia soulangiana       0.00      0.00      0.00        13
           Magnolia stellata       0.15      0.26      0.19        39
          Magnolia tripetala       0.39      0.38      0.39        39
         Magnolia virginiana       0.23      0.07      0.11        40
          Malus angustifolia       0.00      0.00      0.00        18
               Malus baccata       0.19      0.38      0.25        40
             Malus coronaria       0.24      0.15      0.18        40
            Malus floribunda       0.05      0.03      0.03        40
            Malus hupehensis       0.09      0.03      0.04        40
                Malus pumila       0.12      0.28      0.17        40
Metasequoia glyptostroboides       0.81      0.85      0.83        40
                  Morus alba       0.22      0.50      0.31        42
                 Morus rubra       0.55      0.29      0.38        41
             Nyssa sylvatica       0.29      0.18      0.22        39
           Ostrya virginiana       0.08      0.05      0.06        61
         Oxydendrum arboreum       0.18      0.26      0.21        39
         Paulownia tomentosa       0.46      0.44      0.45        39
      Phellodendron amurense       0.55      0.45      0.49        40
                 Picea abies       0.42      0.46      0.44        39
            Picea orientalis       0.34      0.46      0.39        39
               Picea pungens       0.47      0.20      0.28        40
              Pinus bungeana       0.60      0.15      0.24        40
                Pinus cembra       0.29      0.31      0.30        39
            Pinus densiflora       0.28      0.35      0.31        40
              Pinus echinata       0.42      0.28      0.33        40
              Pinus flexilis       0.39      0.39      0.39        41
            Pinus koraiensis       0.58      0.47      0.52        38
                 Pinus nigra       0.35      0.36      0.35        39
            Pinus parviflora       0.39      0.30      0.34        40
                Pinus peucea       0.26      0.22      0.24        41
               Pinus pungens       0.52      0.28      0.37        39
              Pinus resinosa       0.37      0.33      0.35        40
                Pinus rigida       0.37      0.40      0.39        40
               Pinus strobus       0.46      0.40      0.43        40
            Pinus sylvestris       0.59      0.50      0.54        40
                 Pinus taeda       0.58      0.75      0.65        40
            Pinus thunbergii       0.25      0.31      0.28        39
            Pinus virginiana       0.49      0.79      0.61        39
           Pinus wallichiana       0.52      0.55      0.54        40
         Platanus acerifolia       0.36      0.13      0.19        39
       Platanus occidentalis       0.30      0.13      0.18        55
           Populus deltoides       0.36      0.68      0.47        40
       Populus grandidentata       0.28      0.20      0.23        40
         Populus tremuloides       0.15      0.15      0.15        40
         Prunus pensylvanica       0.39      0.47      0.43        40
            Prunus sargentii       0.09      0.05      0.06        40
             Prunus serotina       0.20      0.10      0.13        42
            Prunus serrulata       0.17      0.03      0.04        39
          Prunus subhirtella       0.05      0.03      0.03        40
           Prunus virginiana       0.08      0.05      0.06        40
            Prunus yedoensis       0.27      0.18      0.22        39
        Pseudolarix amabilis       0.54      0.55      0.55        38
           Ptelea trifoliata       0.45      0.53      0.49        73
            Pyrus calleryana       0.48      0.38      0.42        40
          Quercus acutissima       0.12      0.05      0.07        40
                Quercus alba       0.00      0.00      0.00        53
             Quercus bicolor       0.00      0.00      0.00        41
              Quercus cerris       0.32      0.47      0.38        40
            Quercus coccinea       0.27      0.20      0.23        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.12      0.03      0.04        38
          Quercus macrocarpa       0.70      0.65      0.68        40
         Quercus marilandica       0.20      0.28      0.23        40
           Quercus michauxii       0.14      0.08      0.10        39
             Quercus montana       0.29      0.37      0.32        62
       Quercus muehlenbergii       0.27      0.33      0.30        39
               Quercus nigra       0.42      0.33      0.37        40
           Quercus palustris       0.44      0.65      0.53        40
             Quercus phellos       0.20      0.15      0.17        40
               Quercus robur       0.40      0.05      0.09        38
               Quercus rubra       0.33      0.08      0.12        13
           Quercus shumardii       0.52      0.80      0.63        40
            Quercus stellata       0.48      0.33      0.39        40
            Quercus velutina       0.36      0.41      0.38        39
          Quercus virginiana       0.41      0.23      0.29        40
       Robinia pseudo-acacia       0.40      0.24      0.30        41
            Salix babylonica       0.48      0.53      0.50        40
           Salix caroliniana       0.22      0.12      0.15        42
             Salix matsudana       0.52      0.34      0.41        38
                 Salix nigra       0.50      0.55      0.52        40
           Sassafras albidum       0.11      0.03      0.04        37
          Staphylea trifolia       0.18      0.04      0.06        55
    Stewartia pseudocamellia       0.11      0.13      0.12        39
             Styrax japonica       0.11      0.17      0.14        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.65      0.65      0.65        20
          Taxodium distichum       0.77      0.63      0.70        38
             Tilia americana       0.44      0.43      0.43        47
               Tilia cordata       0.14      0.12      0.13        40
              Tilia europaea       0.26      0.26      0.26        39
             Tilia tomentosa       0.09      0.07      0.08        40
              Toona sinensis       0.40      0.31      0.35        13
            Tsuga canadensis       0.41      0.53      0.46        40
             Ulmus americana       0.03      0.02      0.02        66
                Ulmus glabra       0.25      0.12      0.16        34
            Ulmus parvifolia       0.46      0.60      0.52        40
               Ulmus procera       0.12      0.07      0.09        40
                Ulmus pumila       0.13      0.13      0.13        39
                 Ulmus rubra       0.01      0.01      0.01        88
             Zelkova serrata       0.09      0.10      0.10        39
                    accuracy                           0.33      7639
                   macro avg       0.32      0.32      0.30      7639
                weighted avg       0.32      0.33      0.31      7639
===============================================================================
Classifier: SVC
------------------------------------------
Accuracy:  0.204
Precision:  0.204
Recall:  0.204
F1 Score:  0.204
Jaccard Score:  0.114
Hamming Loss:  0.796
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.31      0.58      0.40        66
          Abies nordmanniana       0.33      0.32      0.32        41
              Acer campestre       0.00      0.00      0.00        36
                Acer ginnala       0.17      0.03      0.04        40
                Acer griseum       0.00      0.00      0.00        26
                Acer negundo       0.29      0.54      0.38        65
               Acer palmatum       0.59      0.42      0.49        40
          Acer pensylvanicum       0.29      0.38      0.33        39
            Acer platanoides       0.00      0.00      0.00        40
         Acer pseudoplatanus       0.00      0.00      0.00        39
                 Acer rubrum       0.18      0.35      0.24        83
            Acer saccharinum       0.14      0.02      0.04        49
              Acer saccharum       0.31      0.08      0.12        52
              Aesculus flava       0.26      0.39      0.32        38
             Aesculus glabra       0.45      0.36      0.40        39
      Aesculus hippocastamon       0.22      0.21      0.21        39
               Aesculus pavi       0.13      0.07      0.09        41
         Ailanthus altissima       0.75      0.09      0.16        34
         Albizia julibrissin       0.71      0.53      0.61        38
         Amelanchier arborea       0.00      0.00      0.00        29
      Amelanchier canadensis       0.07      0.03      0.04        40
          Amelanchier laevis       0.05      0.25      0.09        40
             Asimina triloba       0.19      0.38      0.26        66
       Betula alleghaniensis       0.18      0.12      0.15        40
          Betula jacqemontii       0.14      0.07      0.10        40
                Betula lenta       0.00      0.00      0.00        39
                Betula nigra       0.10      0.08      0.09        39
          Betula populifolia       0.00      0.00      0.00        40
    Broussonettia papyrifera       0.05      0.41      0.09        79
            Carpinus betulus       0.07      0.03      0.04        40
        Carpinus caroliniana       0.00      0.00      0.00        49
           Carya cordiformis       0.57      0.35      0.43        49
                Carya glabra       0.00      0.00      0.00        33
                 Carya ovata       0.31      0.28      0.29        40
             Carya tomentosa       0.17      0.23      0.20        39
            Castanea dentata       0.00      0.00      0.00        39
        Catalpa bignonioides       0.28      0.70      0.40        57
            Catalpa speciosa       0.50      0.33      0.40        39
            Cedrus atlantica       0.00      0.00      0.00        26
              Cedrus deodara       0.00      0.00      0.00        26
               Cedrus libani       0.27      0.57      0.37        40
         Celtis occidentalis       0.00      0.00      0.00        37
           Celtis tenuifolia       0.00      0.00      0.00        39
    Cercidiphyllum japonicum       0.08      0.03      0.04        39
           Cercis canadensis       0.29      0.04      0.06        57
      Chamaecyparis pisifera       0.54      0.62      0.58        40
      Chamaecyparis thyoides       0.67      0.45      0.54        40
         Chionanthus retusus       0.18      0.23      0.20        40
      Chionanthus virginicus       0.12      0.02      0.03        57
            Cladrastis lutea       0.22      0.31      0.26        39
              Cornus florida       0.00      0.00      0.00        41
                Cornus kousa       0.00      0.00      0.00        40
                  Cornus mas       0.00      0.00      0.00        40
             Corylus colurna       0.00      0.00      0.00        16
        Crataegus crus-galli       0.14      0.18      0.16        34
         Crataegus laevigata       0.22      0.38      0.28        40
       Crataegus phaenopyrum       0.10      0.30      0.15        40
          Crataegus pruinosa       0.00      0.00      0.00        40
           Crataegus viridis       0.08      0.17      0.11        40
        Cryptomeria japonica       0.50      0.19      0.28        26
        Diospyros virginiana       0.19      0.29      0.23        66
           Eucommia ulmoides       0.00      0.00      0.00        40
            Evodia daniellii       0.00      0.00      0.00        26
           Fagus grandifolia       0.00      0.00      0.00        38
                Ficus carica       0.41      0.51      0.45        39
          Fraxinus americana       0.00      0.00      0.00        29
              Fraxinus nigra       0.48      0.38      0.42        40
      Fraxinus pennsylvanica       0.18      0.15      0.17        39
               Ginkgo biloba       0.12      0.05      0.07        40
       Gleditsia triacanthos       0.40      0.34      0.37        50
         Gymnocladus dioicus       0.17      0.15      0.16        39
          Halesia tetraptera       0.00      0.00      0.00        40
                  Ilex opaca       0.08      0.01      0.02        71
             Juglans cinerea       0.38      0.28      0.32        40
               Juglans nigra       0.29      0.31      0.30        49
        Juniperus virginiana       0.00      0.00      0.00        16
     Koelreuteria paniculata       0.28      0.33      0.30        40
               Larix decidua       0.41      0.40      0.41        40
     Liquidambar styraciflua       0.30      0.08      0.12        39
     Liriodendron tulipifera       0.22      0.34      0.27        61
            Maclura pomifera       0.13      0.96      0.24       140
          Magnolia acuminata       0.10      0.03      0.04        40
           Magnolia denudata       0.00      0.00      0.00        39
        Magnolia grandiflora       0.40      0.05      0.09        40
        Magnolia macrophylla       0.48      0.31      0.38        39
        Magnolia soulangiana       0.00      0.00      0.00        13
           Magnolia stellata       0.00      0.00      0.00        39
          Magnolia tripetala       0.50      0.33      0.40        39
         Magnolia virginiana       0.00      0.00      0.00        40
          Malus angustifolia       0.00      0.00      0.00        18
               Malus baccata       0.12      0.28      0.17        40
             Malus coronaria       0.00      0.00      0.00        40
            Malus floribunda       0.01      0.03      0.01        40
            Malus hupehensis       0.00      0.00      0.00        40
                Malus pumila       0.11      0.17      0.13        40
Metasequoia glyptostroboides       0.90      0.68      0.77        40
                  Morus alba       0.10      0.17      0.13        42
                 Morus rubra       0.55      0.15      0.23        41
             Nyssa sylvatica       0.00      0.00      0.00        39
           Ostrya virginiana       0.00      0.00      0.00        61
         Oxydendrum arboreum       0.00      0.00      0.00        39
         Paulownia tomentosa       0.59      0.26      0.36        39
      Phellodendron amurense       0.29      0.10      0.15        40
                 Picea abies       0.41      0.49      0.45        39
            Picea orientalis       0.60      0.79      0.68        39
               Picea pungens       0.42      0.20      0.27        40
              Pinus bungeana       0.60      0.07      0.13        40
                Pinus cembra       0.19      0.21      0.20        39
            Pinus densiflora       0.19      0.23      0.20        40
              Pinus echinata       0.18      0.10      0.13        40
              Pinus flexilis       0.24      0.24      0.24        41
            Pinus koraiensis       0.32      0.21      0.25        38
                 Pinus nigra       0.35      0.21      0.26        39
            Pinus parviflora       0.17      0.28      0.21        40
                Pinus peucea       0.17      0.15      0.16        41
               Pinus pungens       0.33      0.21      0.25        39
              Pinus resinosa       0.36      0.23      0.28        40
                Pinus rigida       0.34      0.35      0.35        40
               Pinus strobus       0.59      0.25      0.35        40
            Pinus sylvestris       0.61      0.28      0.38        40
                 Pinus taeda       0.44      0.80      0.57        40
            Pinus thunbergii       0.11      0.18      0.14        39
            Pinus virginiana       0.45      0.67      0.54        39
           Pinus wallichiana       0.17      0.10      0.13        40
         Platanus acerifolia       0.00      0.00      0.00        39
       Platanus occidentalis       0.20      0.02      0.03        55
           Populus deltoides       0.35      0.68      0.46        40
       Populus grandidentata       0.00      0.00      0.00        40
         Populus tremuloides       0.00      0.00      0.00        40
         Prunus pensylvanica       0.22      0.25      0.23        40
            Prunus sargentii       0.03      0.12      0.05        40
             Prunus serotina       0.00      0.00      0.00        42
            Prunus serrulata       0.00      0.00      0.00        39
          Prunus subhirtella       0.04      0.10      0.05        40
           Prunus virginiana       0.00      0.00      0.00        40
            Prunus yedoensis       0.00      0.00      0.00        39
        Pseudolarix amabilis       0.32      0.55      0.40        38
           Ptelea trifoliata       0.26      0.74      0.38        73
            Pyrus calleryana       0.00      0.00      0.00        40
          Quercus acutissima       0.00      0.00      0.00        40
                Quercus alba       0.00      0.00      0.00        53
             Quercus bicolor       0.00      0.00      0.00        41
              Quercus cerris       0.33      0.05      0.09        40
            Quercus coccinea       0.31      0.10      0.15        40
             Quercus falcata       0.00      0.00      0.00         2
          Quercus imbricaria       0.00      0.00      0.00        38
          Quercus macrocarpa       0.44      0.40      0.42        40
         Quercus marilandica       0.00      0.00      0.00        40
           Quercus michauxii       0.00      0.00      0.00        39
             Quercus montana       0.25      0.44      0.32        62
       Quercus muehlenbergii       0.20      0.23      0.21        39
               Quercus nigra       0.00      0.00      0.00        40
           Quercus palustris       0.35      0.28      0.31        40
             Quercus phellos       0.00      0.00      0.00        40
               Quercus robur       0.00      0.00      0.00        38
               Quercus rubra       0.00      0.00      0.00        13
           Quercus shumardii       0.37      0.82      0.51        40
            Quercus stellata       0.20      0.03      0.04        40
            Quercus velutina       0.45      0.23      0.31        39
          Quercus virginiana       0.00      0.00      0.00        40
       Robinia pseudo-acacia       0.29      0.17      0.22        41
            Salix babylonica       0.28      0.28      0.28        40
           Salix caroliniana       0.19      0.19      0.19        42
             Salix matsudana       0.43      0.34      0.38        38
                 Salix nigra       0.16      0.28      0.21        40
           Sassafras albidum       0.00      0.00      0.00        37
          Staphylea trifolia       0.00      0.00      0.00        55
    Stewartia pseudocamellia       0.00      0.00      0.00        39
             Styrax japonica       0.07      0.17      0.10        40
              Styrax obassia       0.00      0.00      0.00        13
          Syringa reticulata       0.52      0.65      0.58        20
          Taxodium distichum       0.81      0.34      0.48        38
             Tilia americana       0.38      0.26      0.30        47
               Tilia cordata       0.05      0.17      0.08        40
              Tilia europaea       0.00      0.00      0.00        39
             Tilia tomentosa       0.00      0.00      0.00        40
              Toona sinensis       0.00      0.00      0.00        13
            Tsuga canadensis       0.38      0.55      0.45        40
             Ulmus americana       0.20      0.02      0.03        66
