Classifier: MLPClassifier
------------------------------------------
Accuracy:  0.638
Precision:  0.638
Recall:  0.638
F1 Score:  0.638
Jaccard Score:  0.468
Hamming Loss:  0.362
Classification Report showing the main Classification metrics for each label (species):
                               precision    recall  f1-score   support
              Abies concolor       0.81      0.79      0.80        66
          Abies nordmanniana       0.91      0.73      0.81        41
              Acer campestre       0.50      0.61      0.55        36
                Acer ginnala       0.78      0.70      0.74        40
                Acer griseum       0.79      0.85      0.81        26
                Acer negundo       0.74      0.78      0.76        65
               Acer palmatum       0.72      0.90      0.80        40
          Acer pensylvanicum       0.74      0.82      0.78        39
            Acer platanoides       0.52      0.38      0.43        40
         Acer pseudoplatanus       0.44      0.49      0.46        39
                 Acer rubrum       0.80      0.77      0.79        83
            Acer saccharinum       0.50      0.45      0.47        49
              Acer saccharum       0.47      0.31      0.37        52
              Aesculus flava       0.60      0.55      0.58        38
             Aesculus glabra       0.83      0.74      0.78        39
      Aesculus hippocastamon       0.74      0.72      0.73        39
               Aesculus pavi       0.54      0.46      0.50        41
         Ailanthus altissima       0.65      0.71      0.68        34
         Albizia julibrissin       0.95      0.92      0.93        38
         Amelanchier arborea       0.50      0.31      0.38        29
      Amelanchier canadensis       0.62      0.57      0.60        40
          Amelanchier laevis       0.66      0.78      0.71        40
             Asimina triloba       0.70      0.67      0.68        66
       Betula alleghaniensis       0.62      0.53      0.57        40
          Betula jacqemontii       0.43      0.53      0.47        40
                Betula lenta       0.62      0.62      0.62        39
                Betula nigra       0.51      0.54      0.53        39
          Betula populifolia       0.60      0.45      0.51        40
    Broussonettia papyrifera       0.45      0.27      0.33        79
            Carpinus betulus       0.53      0.60      0.56        40
        Carpinus caroliniana       0.62      0.76      0.68        49
           Carya cordiformis       0.64      0.80      0.71        49
                Carya glabra       0.44      0.42      0.43        33
                 Carya ovata       0.71      0.72      0.72        40
             Carya tomentosa       0.74      0.79      0.77        39
            Castanea dentata       0.56      0.59      0.57        39
        Catalpa bignonioides       0.86      0.89      0.88        57
            Catalpa speciosa       0.77      0.77      0.77        39
            Cedrus atlantica       0.67      0.77      0.71        26
              Cedrus deodara       0.86      0.69      0.77        26
               Cedrus libani       0.68      0.70      0.69        40
         Celtis occidentalis       0.44      0.46      0.45        37
